BC_Date,BC_BUB,BC_BLB,BC_NBU,BC_NBF,BC_NBL,BUB,BLB,NBU,NBF,NBL
20.07.2010,8.61,6.36,0.1,0.0738,0.0545,1.7,1.246824601,0.011561207,0,0.006493848
01.01.2011,23.94,17.5,0.383,0.28,0.205,18.20305705,13.34158833,0.267171097,0.195786434,0.14362605
01.07.2011,60.34,43.74,1.29,0.934,0.677,73.76842029,53.37884905,1.6770782,1.213436827,0.878719939
01.01.2012,133.28,95.93,3.64,2.62,1.89,199.094403,142.761042,6.174129949,4.427071616,3.176613018
01.07.2012,262.41,187.7,8.87,6.34,4.54,430.0459758,306.1985921,16.96746214,12.08132858,8.607381066
01.01.2013,479.64,341.2,19.58,13.93,9.91,806.8358825,571.1778778,38.75605879,27.43791599,19.43486708
01.07.2013,815,576.96,39.27,27.8,19.68,1373.51044,967.6150627,77.91755958,54.89650913,38.69363928
01.01.2014,1330,934.9,74.43,52.46,36.97,2177.578261,1527.607853,142.6796576,100.1037848,70.25793888
01.07.2014,2050,1440,132.12,92.74,65.1,3269.725977,2285.246476,243.2783413,170.0535476,118.9046498
01.01.2015,3090,2160,225.88,157.97,110.47,4703.591632,3276.463715,392.1057231,273.1798401,190.3715843
01.07.2015,4480,3120,368.06,256.52,178.79,6535.578631,4538.912273,603.8493485,419.4443387,291.4119708
01.01.2016,6370,4430,584.13,405.8,281.92,8824.699496,6111.862168,895.624362,620.4189759,429.8457809
01.07.2016,8820,6110,895.36,620.18,429.57,11632.44229,8036.113283,1287.099568,889.3644969,614.608374
01.01.2017,12020,8300,1340,927.6,640.69,15022.65473,10353.91972,1800.618194,1241.305498,855.7968277
01.07.2017,16000,11020,1960,1350,928.17,19061.44246,13108.92359,2461.313996,1693.102383,1164.714246
01.01.2018,21070,14480,2810,1930,1330,23817.07878,16346.09638,3297.223228,2263.520585,1553.912279
01.07.2018,27240,18670,3930,2700,1850,29359.92397,20111.68667,4339.392906,2973.29735,2037.232054
01.01.2019,34920,23880,5450,3730,2550,35762.35243,24453.17304,5621.985723,3845.206316,2629.843663
01.07.2019,44080,30080,7400,5050,3450,43098.68671,29419.22153,7182.381923,4904.120099,3348.284365
01.01.2020,55260,37640,9950,6780,4620,51445.13724,35059.6467399999,9061.278393,6177.071055,4210.495599
01.07.2020,68460,46540,13180,8960,6090,60879.74702,41425.37638,11302.7852,7693.310372,5235.858915
01.01.2021,84250,57160,17310,11750,7970,71482.34071,48568.4185,13954.51974,9484.36562,6445.230916
01.07.2021,102510,69430,22400,15170,10270,83334.47749,56541.83133,17067.69878,11584.09688,7860.977267
01.01.2022,124190,83970,28820,19480,13170,96519.40733,65399.69529,20697.22833,14028.75152,9507.005868
01.07.2022,148970,100550,36590,24690,16670,111122.0301,75197.08687,24901.79173,16857.01781,11408.79921
01.01.2023,177880,119870,46180,31120,20970,127228.8576,85990.05435,29743.93593,20110.07726,13593.44602
01.07.2023,210750,141800,57690,38820,26120,144927.9776,97835.59501,35290.15602,23831.65601,16089.67216
01.01.2024,248970,167260,71800,48240,32400,164309.0206,110791.6338,41610.9783,28068.07508,18927.87093
01.07.2024,292060,195910,88540,59390,39840,185463.1276,124917.0031,48781.04178,32868.29976,22140.13275
01.01.2025,341490,228750,108710,72820,48780,208482.9211,140271.4238,56879.17828,38283.98801,25760.27418
